contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDateCalls
SPY241213C00300000,2024-12-12 19:33:29+00:00,300.0,305.39,0.0,0.0,0.0,0.0,40.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00330000,2024-12-02 17:25:21+00:00,330.0,274.45,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00360000,2024-12-06 16:09:41+00:00,360.0,248.77,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00400000,2024-12-09 15:28:30+00:00,400.0,206.85,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00415000,2024-11-19 14:31:05+00:00,415.0,171.59,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00420000,2024-12-05 15:06:30+00:00,420.0,188.56,0.0,0.0,0.0,0.0,75.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00425000,2024-12-12 20:31:11+00:00,425.0,180.29,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00430000,2024-12-06 18:30:04+00:00,430.0,178.71,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00435000,2024-11-14 14:48:45+00:00,435.0,163.31,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00440000,2024-11-26 14:59:45+00:00,440.0,160.26,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00445000,2024-12-11 19:51:48+00:00,445.0,163.46,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00450000,2024-12-06 14:36:55+00:00,450.0,158.21,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00455000,2024-11-12 15:29:08+00:00,455.0,145.52,150.57,151.8,0.0,0.0,,5,3.286134597167969,True,REGULAR,USD,2024-12-13
SPY241213C00460000,2024-12-11 19:56:19+00:00,460.0,148.08,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00465000,2024-11-22 20:15:01+00:00,465.0,130.9,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00470000,2024-12-12 20:11:44+00:00,470.0,135.27,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00475000,2024-12-10 15:52:53+00:00,475.0,130.67,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00480000,2024-12-12 20:46:28+00:00,480.0,125.48,0.0,0.0,0.0,0.0,194.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00485000,2024-12-03 17:02:15+00:00,485.0,118.76,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00490000,2024-12-12 19:32:25+00:00,490.0,115.16,0.0,0.0,0.0,0.0,190.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00495000,2024-12-12 18:51:08+00:00,495.0,111.35,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00500000,2024-12-12 20:47:38+00:00,500.0,105.45,0.0,0.0,0.0,0.0,57.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
SPY241213C00505000,2024-12-12 18:10:47+00:00,505.0,102.01,0.0,0.0,0.0,0.0,44.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-13
