,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDateCalls
0,SPY241125C00300000,24:11:21 20:32:18,300.0,295.04,295.0,296.22,0.0,0.0,240.0,2.7656280859375,True,REGULAR,USD,2024-11-25
1,SPY241125C00535000,24:11:20 20:33:29,535.0,55.0,60.06,61.26,0.0,0.0,1.0,0.5449264257812501,True,REGULAR,USD,2024-11-25
2,SPY241125C00540000,24:11:21 20:22:54,540.0,55.04,55.04,56.26,-0.37999725,-0.6856681,2.0,0.6645541357421877,True,REGULAR,USD,2024-11-25
3,SPY241125C00550000,24:11:22 18:16:33,550.0,46.2,45.06,46.27,9.780003,26.853386,1.0,0.5644574804687501,True,REGULAR,USD,2024-11-25
4,SPY241125C00560000,24:11:22 19:39:03,560.0,34.84,35.07,36.27,5.8899994,20.34542,5.0,0.4616753051757813,True,REGULAR,USD,2024-11-25
5,SPY241125C00565000,24:11:22 21:13:36,565.0,30.62,30.07,31.27,2.92,10.541516,18.0,0.4091855957031249,True,REGULAR,USD,2024-11-25
6,SPY241125C00570000,24:11:22 21:04:12,570.0,25.64,25.09,26.27,2.08,8.828523,35.0,0.3562076098632812,True,REGULAR,USD,2024-11-25
7,SPY241125C00575000,24:11:22 20:34:37,575.0,20.35,20.09,21.28,0.80999947,4.14534,34.0,0.3029854858398437,True,REGULAR,USD,2024-11-25
8,SPY241125C00576000,24:11:22 20:12:11,576.0,18.56,19.09,20.28,-0.040000916,-0.21505868,75.0,0.291877198486328,True,REGULAR,USD,2024-11-25
9,SPY241125C00577000,24:11:22 20:56:49,577.0,18.9,18.09,19.28,1.5100002,8.683152,60.0,0.2807689111328124,True,REGULAR,USD,2024-11-25
10,SPY241125C00578000,24:11:21 20:24:46,578.0,16.58,17.05,18.28,-0.6399994,-3.7166052,232.0,0.2695385546875,True,REGULAR,USD,2024-11-25
11,SPY241125C00579000,24:11:22 17:14:55,579.0,16.39,16.06,17.28,-0.010000229,-0.06097701,41.0,0.2583081982421875,True,REGULAR,USD,2024-11-25
12,SPY241125C00580000,24:11:22 21:04:36,580.0,15.6,15.06,15.82,0.97000027,6.6302137,460.0,0.1950764086914062,True,REGULAR,USD,2024-11-25
13,SPY241125C00581000,24:11:22 16:39:29,581.0,13.62,14.61,14.76,-0.3800001,-2.7142866,260.0,0.1762777685546875,True,REGULAR,USD,2024-11-25
14,SPY241125C00582000,24:11:22 20:10:18,582.0,12.75,13.61,13.77,-0.17000008,-1.31579,367.0,0.1679770703125,True,REGULAR,USD,2024-11-25
15,SPY241125C00583000,24:11:22 19:26:55,583.0,12.8,12.61,12.77,1.0100002,8.566584,160.0,0.15821154296875,True,REGULAR,USD,2024-11-25
16,SPY241125C00584000,24:11:22 20:52:39,584.0,11.82,11.63,11.78,0.96000004,8.839779,2727.0,0.1496667065429687,True,REGULAR,USD,2024-11-25
17,SPY241125C00585000,24:11:22 21:08:11,585.0,10.88,10.64,10.79,1.1999998,12.396691,1085.0,0.1408777319335937,True,REGULAR,USD,2024-11-25
18,SPY241125C00586000,24:11:22 20:55:09,586.0,9.52,9.65,9.8,0.7400007,8.428255,1211.0,0.1316004809570312,True,REGULAR,USD,2024-11-25
19,SPY241125C00587000,24:11:22 20:52:55,587.0,8.85,8.68,8.83,0.9800005,12.452357,849.0,0.1245204736328125,True,REGULAR,USD,2024-11-25
20,SPY241125C00588000,24:11:22 21:13:11,588.0,7.74,7.72,7.86,0.7399998,10.571425,1424.0,0.1164639135742187,True,REGULAR,USD,2024-11-25
21,SPY241125C00589000,24:11:22 20:47:32,589.0,7.2,6.77,6.9,1.0799999,17.647058,1571.0,0.1087735607910156,True,REGULAR,USD,2024-11-25
22,SPY241125C00590000,24:11:22 21:13:49,590.0,5.88,5.86,5.96,0.46000004,8.487085,2021.0,0.1018156225585937,True,REGULAR,USD,2024-11-25
23,SPY241125C00591000,24:11:22 21:13:45,591.0,5.0,4.93,5.03,0.4000001,8.695655,2053.0,0.0942473388671875,True,REGULAR,USD,2024-11-25
24,SPY241125C00592000,24:11:22 21:12:42,592.0,4.07,4.04,4.13,0.19000006,4.8969088,2092.0,0.0872894006347656,True,REGULAR,USD,2024-11-25
25,SPY241125C00593000,24:11:22 21:14:08,593.0,3.22,3.18,3.26,0.0,0.0,1689.0,0.08008732421875,True,REGULAR,USD,2024-11-25
26,SPY241125C00594000,24:11:22 21:14:18,594.0,2.45,2.4,2.46,-0.19000006,-7.196972,2674.0,0.0739838696289062,True,REGULAR,USD,2024-11-25
27,SPY241125C00595000,24:11:22 21:14:56,595.0,1.72,1.7,1.74,-0.3699999,-17.703344,2889.0,0.0683076568603515,True,REGULAR,USD,2024-11-25
28,SPY241125C00596000,24:11:22 21:14:59,596.0,1.15,1.14,1.15,-0.49,-29.87805,3445.0,0.0640962731933593,False,REGULAR,USD,2024-11-25
29,SPY241125C00597000,24:11:22 21:14:53,597.0,0.68,0.68,0.69,-0.55,-44.715446,1821.0,0.0603121313476562,False,REGULAR,USD,2024-11-25
30,SPY241125C00598000,24:11:22 21:14:58,598.0,0.37,0.37,0.39,-0.53,-58.88889,3350.0,0.0584810949707031,False,REGULAR,USD,2024-11-25
31,SPY241125C00599000,24:11:22 21:14:57,599.0,0.19,0.19,0.2,-0.43,-69.354836,2347.0,0.0571383349609375,False,REGULAR,USD,2024-11-25
32,SPY241125C00600000,24:11:22 21:14:58,600.0,0.1,0.09,0.1,-0.31,-75.60976,11640.0,0.0568941967773437,False,REGULAR,USD,2024-11-25
33,SPY241125C00601000,24:11:22 21:14:47,601.0,0.04,0.04,0.05,-0.23000002,-85.18519,2262.0,0.057626611328125,False,REGULAR,USD,2024-11-25
34,SPY241125C00602000,24:11:22 21:14:50,602.0,0.02,0.02,0.03,-0.14,-87.5,2609.0,0.06055626953125,False,REGULAR,USD,2024-11-25
35,SPY241125C00603000,24:11:22 21:13:21,603.0,0.02,0.01,0.02,-0.08,-79.99999,3298.0,0.06446248046875,False,REGULAR,USD,2024-11-25
