contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDateCalls
SPY241125C00300000,2024-11-21 20:32:18+00:00,300.0,295.04,295.0,296.22,0.0,0.0,1.0,240.0,3.3906265234374997,True,REGULAR,USD,2024-11-25
SPY241125C00535000,2024-11-20 20:33:29+00:00,535.0,55.0,60.06,61.26,0.0,0.0,1.0,1.0,0.6679720703125002,True,REGULAR,USD,2024-11-25
SPY241125C00540000,2024-11-21 20:22:54+00:00,540.0,55.04,55.04,56.26,-0.37999725,-0.6856681,5.0,2.0,0.6113320117187502,True,REGULAR,USD,2024-11-25
SPY241125C00550000,2024-11-22 18:16:33+00:00,550.0,46.2,45.06,46.27,9.780003,26.853386,2.0,1.0,0.5185595019531251,True,REGULAR,USD,2024-11-25
SPY241125C00560000,2024-11-22 19:39:03+00:00,560.0,34.84,35.07,36.27,5.8899994,20.34542,1.0,5.0,0.5654340332031251,True,REGULAR,USD,2024-11-25
SPY241125C00565000,2024-11-22 21:13:36+00:00,565.0,30.62,30.07,31.27,2.92,10.541516,7.0,18.0,0.5014698291015626,True,REGULAR,USD,2024-11-25
SPY241125C00570000,2024-11-22 21:04:12+00:00,570.0,25.64,25.09,26.27,2.08,8.828523,123.0,35.0,0.43628493408203123,True,REGULAR,USD,2024-11-25
SPY241125C00575000,2024-11-22 20:34:37+00:00,575.0,20.35,20.09,21.28,0.80999947,4.14534,282.0,34.0,0.3711000390625,True,REGULAR,USD,2024-11-25
SPY241125C00576000,2024-11-22 20:12:11+00:00,576.0,18.56,19.09,20.28,-0.040000916,-0.21505868,8.0,75.0,0.35742830078125,True,REGULAR,USD,2024-11-25
SPY241125C00577000,2024-11-22 20:56:49+00:00,577.0,18.9,18.09,19.28,1.5100002,8.683152,14.0,60.0,0.3437565625,True,REGULAR,USD,2024-11-25
SPY241125C00578000,2024-11-21 20:24:46+00:00,578.0,16.58,17.05,18.28,-0.6399994,-3.7166052,41.0,232.0,0.33008482421874996,True,REGULAR,USD,2024-11-25
SPY241125C00579000,2024-11-22 17:14:55+00:00,579.0,16.39,16.06,17.28,-0.010000229,-0.06097701,324.0,41.0,0.3161689477539062,True,REGULAR,USD,2024-11-25
SPY241125C00580000,2024-11-22 21:04:36+00:00,580.0,15.6,15.06,15.82,0.97000027,6.6302137,393.0,460.0,0.2387771435546875,True,REGULAR,USD,2024-11-25
SPY241125C00581000,2024-11-22 16:39:29+00:00,581.0,13.62,14.61,14.76,-0.3800001,-2.7142866,63.0,260.0,0.215828154296875,True,REGULAR,USD,2024-11-25
SPY241125C00582000,2024-11-22 20:10:18+00:00,582.0,12.75,13.61,13.77,-0.17000008,-1.31579,16.0,367.0,0.20606262695312497,True,REGULAR,USD,2024-11-25
SPY241125C00583000,2024-11-22 19:26:55+00:00,583.0,12.8,12.61,12.77,1.0100002,8.566584,15.0,160.0,0.19385571777343752,True,REGULAR,USD,2024-11-25
SPY241125C00584000,2024-11-22 20:52:39+00:00,584.0,11.82,11.63,11.78,0.96000004,8.839779,53.0,2727.0,0.18335777587890623,True,REGULAR,USD,2024-11-25
SPY241125C00585000,2024-11-22 21:08:11+00:00,585.0,10.88,10.64,10.79,1.1999998,12.396691,353.0,1085.0,0.17237155761718753,True,REGULAR,USD,2024-11-25
SPY241125C00586000,2024-11-22 20:55:09+00:00,586.0,9.52,9.65,9.8,0.7400007,8.428255,115.0,1211.0,0.16138533935546873,True,REGULAR,USD,2024-11-25
SPY241125C00587000,2024-11-22 20:52:55+00:00,587.0,8.85,8.68,8.83,0.9800005,12.452357,266.0,849.0,0.15235222656250003,True,REGULAR,USD,2024-11-25
SPY241125C00588000,2024-11-22 21:13:11+00:00,588.0,7.74,7.72,7.86,0.7399998,10.571425,456.0,1424.0,0.14270876831054688,True,REGULAR,USD,2024-11-25
SPY241125C00589000,2024-11-22 20:47:32+00:00,589.0,7.2,6.77,6.9,1.0799999,17.647058,421.0,1571.0,0.1333094482421875,True,REGULAR,USD,2024-11-25
SPY241125C00590000,2024-11-22 21:13:49+00:00,590.0,5.88,5.86,5.96,0.46000004,8.487085,1502.0,2021.0,0.12476461181640625,True,REGULAR,USD,2024-11-25
SPY241125C00591000,2024-11-22 21:13:45+00:00,591.0,5.0,4.93,5.03,0.4000001,8.695655,1408.0,2053.0,0.11548736083984376,True,REGULAR,USD,2024-11-25
SPY241125C00592000,2024-11-22 21:12:42+00:00,592.0,4.07,4.04,4.13,0.19000006,4.8969088,3943.0,2092.0,0.1069425244140625,True,REGULAR,USD,2024-11-25
SPY241125C00593000,2024-11-22 21:14:08+00:00,593.0,3.22,3.18,3.26,0.0,0.0,10447.0,1689.0,0.0981535498046875,True,REGULAR,USD,2024-11-25
SPY241125C00594000,2024-11-22 21:14:18+00:00,594.0,2.45,2.4,2.46,-0.19000006,-7.196972,32937.0,2674.0,0.09070733520507812,True,REGULAR,USD,2024-11-25
SPY241125C00595000,2024-11-22 21:14:56+00:00,595.0,1.72,1.7,1.74,-0.3699999,-17.703344,125401.0,2889.0,0.08362732788085939,True,REGULAR,USD,2024-11-25
SPY241125C00596000,2024-11-22 21:14:59+00:00,596.0,1.15,1.14,1.15,-0.49,-29.87805,115125.0,3445.0,0.07850042602539065,False,REGULAR,USD,2024-11-25
SPY241125C00597000,2024-11-22 21:14:53+00:00,597.0,0.68,0.68,0.69,-0.55,-44.715446,85016.0,1821.0,0.07386180053710939,False,REGULAR,USD,2024-11-25
SPY241125C00598000,2024-11-22 21:14:58+00:00,598.0,0.37,0.37,0.39,-0.53,-58.88889,44787.0,3350.0,0.07166455688476564,False,REGULAR,USD,2024-11-25
SPY241125C00599000,2024-11-22 21:14:57+00:00,599.0,0.19,0.19,0.2,-0.43,-69.354836,31324.0,2347.0,0.06983352050781251,False,REGULAR,USD,2024-11-25
SPY241125C00600000,2024-11-22 21:14:58+00:00,600.0,0.1,0.09,0.1,-0.31,-75.60976,69324.0,11640.0,0.06983352050781251,False,REGULAR,USD,2024-11-25
SPY241125C00601000,2024-11-22 21:14:47+00:00,601.0,0.04,0.04,0.05,-0.23000002,-85.18519,17758.0,2262.0,0.07081007324218751,False,REGULAR,USD,2024-11-25
SPY241125C00602000,2024-11-22 21:14:50+00:00,602.0,0.02,0.02,0.03,-0.14,-87.5,24969.0,2609.0,0.07422800781250001,False,REGULAR,USD,2024-11-25
SPY241125C00603000,2024-11-22 21:13:21+00:00,603.0,0.02,0.01,0.02,-0.08,-79.99999,7451.0,3298.0,0.07911077148437501,False,REGULAR,USD,2024-11-25
SPY241125C00604000,2024-11-22 21:12:12+00:00,604.0,0.01,0.01,0.02,-0.04,-79.99999,2766.0,1608.0,0.08789974609375001,False,REGULAR,USD,2024-11-25
SPY241125C00605000,2024-11-22 21:13:06+00:00,605.0,0.01,0.01,0.02,-0.02,-66.66667,3210.0,8372.0,0.09668872070312501,False,REGULAR,USD,2024-11-25
