contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDateCalls
SH241220C00009000,2024-11-06 14:30:01+00:00,9.0,1.8,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,2024-12-20
SH241220C00010000,2024-11-06 18:02:02+00:00,10.0,0.7,0.0,0.0,0.0,0.0,51.0,227,1.0000000000000003e-05,True,REGULAR,USD,2024-12-20
SH241220C00011000,2024-11-04 14:30:07+00:00,11.0,0.11,0.0,0.0,0.0,0.0,58.0,0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-20
SH241220C00012000,2024-11-06 14:30:01+00:00,12.0,0.1,0.0,0.0,0.0,0.0,7.0,98,1.0000000000000003e-05,True,REGULAR,USD,2024-12-20
SH241220C00013000,2024-11-06 14:30:01+00:00,13.0,0.05,0.0,0.0,0.0,0.0,20.0,21,1.0000000000000003e-05,True,REGULAR,USD,2024-12-20
SH241220C00038000,2024-11-21 20:15:02+00:00,38.0,4.2,2.5,5.0,0.0,0.0,1.0,1,1.1484417578125,True,REGULAR,USD,2024-12-20
SH241220C00039000,2024-11-26 19:38:26+00:00,39.0,3.0,2.35,3.0,0.0,0.0,,1,0.45703667968750006,True,REGULAR,USD,2024-12-20
SH241220C00041000,2024-12-09 16:06:31+00:00,41.0,0.05,0.5,0.95,0.0,0.0,1.0,76,0.187508125,True,REGULAR,USD,2024-12-20
SH241220C00042000,2024-12-12 18:58:34+00:00,42.0,0.15,0.1,0.3,-0.049999997,-24.999998,4.0,129,0.16211775390625,False,REGULAR,USD,2024-12-20
SH241220C00043000,2024-12-09 20:47:29+00:00,43.0,0.12,0.0,0.1,0.0,0.0,15.0,50,0.19336744140625,False,REGULAR,USD,2024-12-20
SH241220C00044000,2024-12-12 19:38:17+00:00,44.0,0.05,0.0,0.05,0.0,0.0,4.0,108,0.24024197265624997,False,REGULAR,USD,2024-12-20
SH241220C00045000,2024-12-03 14:30:03+00:00,45.0,0.05,0.0,0.05,0.0,0.0,1.0,114,0.31836619140624994,False,REGULAR,USD,2024-12-20
SH241220C00047000,2024-11-18 14:30:12+00:00,47.0,0.1,0.0,0.5,0.0,0.0,1.0,0,0.6679720703125002,False,REGULAR,USD,2024-12-20
